yearID,teamID,total_s_y
1997,ANA,31135472
1998,ANA,72416472
1999,ANA,127804638
2000,ANA,179268805
2001,ANA,226803972
2002,ANA,288525639
2003,ANA,367557306
2004,ANA,468091973
1998,ARI,32347000
1999,ARI,101050999
2000,ARI,182078832
2001,ARI,267161831
2002,ARI,369981830
2003,ARI,450638830
2004,ARI,520419580
2005,ARI,582748746
2006,ARI,642432972
2007,ARI,694500518
2008,ARI,760703230
2009,ARI,833818896
2010,ARI,894537062
2011,ARI,948176895
2012,ARI,1021981728
2013,ARI,1112113728
2014,ARI,1209975228
1985,ATL,14807000
1986,ATL,31909786
1987,ATL,48454346
1988,ATL,61182520
1989,ATL,72294854
1990,ATL,86850355
1991,ATL,105253855
1992,ATL,139879188
1993,ATL,181520605
1994,ATL,230904118
1995,ATL,278139563
1996,ATL,327838063
1997,ATL,380116563
1998,ATL,441302563
1999,ATL,514442563
2000,ATL,598980399
2001,ATL,690916565
2002,ATL,783786932
2003,ATL,890030599
2004,ATL,980213099
2005,ATL,1066670401
2006,ATL,1156827277
2007,ATL,1244118110
2008,ATL,1346483793
2009,ATL,1443209959
2010,ATL,1527633625
2011,ATL,1614636317
2012,ATL,1697466259
2013,ATL,1785337784
2014,ATL,1882946784
1985,BAL,11560712
1986,BAL,24561970
1987,BAL,38462243
1988,BAL,51994318
1989,BAL,60269485
1990,BAL,69949569
1991,BAL,87468569
1992,BAL,111249236
1993,BAL,140345736
1994,BAL,179195505
1995,BAL,223138026
1996,BAL,277628341
1997,BAL,336144741
1998,BAL,408500375
1999,BAL,489106238
2000,BAL,570553673
2001,BAL,638153213
2002,BAL,698646700
2003,BAL,772524200
2004,BAL,824147533
2005,BAL,898061866
2006,BAL,970647448
2007,BAL,1063822256
2008,BAL,1131018502
2009,BAL,1198120168
2010,BAL,1279732668
2011,BAL,1365036706
2012,BAL,1442390705
2013,BAL,1526784038
2014,BAL,1630200038
1985,BOS,10897560
1986,BOS,25299799
1987,BOS,35443966
1988,BOS,49340058
1989,BOS,66821806
1990,BOS,87380139
1991,BOS,122547639
1992,BOS,166158223
1993,BOS,203278806
1994,BOS,241137890
1995,BOS,273593408
1996,BOS,315986908
1997,BOS,359545658
1998,BOS,416302658
1999,BOS,479800158
2000,BOS,557740491
2001,BOS,667776324
2002,BOS,776142384
2003,BOS,876088884
2004,BOS,1003387384
2005,BOS,1126892509
2006,BOS,1246992333
2007,BOS,1390018547
2008,BOS,1523408582
2009,BOS,1644754581
2010,BOS,1807201914
2011,BOS,1968964389
2012,BOS,2142151006
2013,BOS,2293681006
2014,BOS,2432700935
1985,CAL,14427894
1986,CAL,28855152
1987,CAL,41698651
1988,CAL,53646039
1989,CAL,68743872
1990,CAL,90463872
1991,CAL,123523873
1992,CAL,158273207
1993,CAL,186861541
1994,CAL,212017759
1995,CAL,243240930
1996,CAL,271978930
1985,CHA,9846178
1986,CHA,20264997
1987,CHA,30906840
1988,CHA,37296840
1989,CHA,44562250
1990,CHA,54053750
1991,CHA,70973417
1992,CHA,101134250
1993,CHA,140830416
1994,CHA,180014252
1995,CHA,226975534
1996,CHA,272115034
1997,CHA,329855034
1998,CHA,368190034
